run_id,parameter_label,seed,status,error,arrival_rate,nav_ratio,slam_ratio,edge_affinity_ratio,edge_rtt_ms,cloud_rtt_ms,local_ops_per_sec,edge_ops_per_sec,cloud_ops_per_sec,total_tasks,latency_mean_ms,latency_p95_ms,total_energy_wh,final_soc,local_ratio,edge_ratio,cloud_ratio,deadline_miss_rate,rules_valid
1,high_45pct,43,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,10,7795.5036624947825,20771.262302003895,0.0493467463132692,44.733260830739106,0.7,0.3,0.0,0.9,True
2,above_35pct,44,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,10,10492.516323215179,31537.42863990285,0.07215394827244258,34.609978657986794,0.8,0.2,0.0,1.0,True
3,just_above_32pct,45,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,10,7207.760678552872,16665.4266737237,0.05005389360106162,31.729438412967237,1.0,0.0,0.0,0.9,True
4,exactly_30pct,46,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,10,2610.879290725205,9593.223949794014,0.012079777540214385,29.93470390518803,0.2,0.0,0.8,0.7,True
5,just_below_28pct,47,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,10,4650.430833281986,16999.555342136147,0.024704114449017763,27.866464246221533,0.3,0.0,0.7,0.8,True
6,low_25pct,48,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,10,5400.783056387075,17572.134566944937,0.035712031637049585,24.806961991151077,0.7,0.0,0.3,0.8,True
7,very_low_20pct,49,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,10,2963.5260454328877,10848.573350782073,0.018038579336531184,19.902494165748482,0.5,0.0,0.5,0.7,True
8,critical_15pct,50,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,10,7649.002835527691,25366.01151973709,0.05082798949459714,14.72525411084001,0.7,0.0,0.3,0.8,True
9,crossing_threshold_33pct,51,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,10,7015.702789707058,20014.324465683345,0.048345217721834956,32.7386744988009,0.9,0.1,0.0,0.8,True
