task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,NAV,local,80.0,0.0,1462920,1413300.9279557783,1721,0.0,0.0,1413.3009279557782,0.0,1413.3009279557782,0.0009814589777470681,79.99901854102225,2.8266018559115564,False
2,NAV,local,79.99901854102225,1.4133009279557782,1685472,20868255.620524447,506,0.0,0.0,20868.255620524447,0.0,20868.255620524447,0.014491844180919755,79.98452669684133,43.149812169004676,True
3,GENERIC,local,79.98452669684133,22.281556548480225,2757334,6354622.368363777,991,0.0,0.0,6354.622368363778,0.0,6354.622368363778,0.004412932200252623,79.98011376464108,34.99080128520778,True
4,SLAM,local,79.98011376464108,28.636178916844003,11994212,4138693.269586349,4125,0.0,0.0,4138.693269586348,0.0,4138.693269586348,0.0028740925483238533,79.97723967209275,36.9135654560167,True
5,GENERIC,local,79.97723967209275,32.77487218643035,60301,2389428.2666163044,649,0.0,0.0,2389.4282666163062,0.0,2389.4282666163062,0.0016593251851502113,79.9755803469076,37.55372871966296,True
6,NAV,local,79.9755803469076,35.16430045304666,2006340,3660925.651445109,1540,0.0,0.0,3660.9256514451117,0.0,3660.9256514451117,0.0025423094801702143,79.97303803742743,42.48615175593688,True
7,GENERIC,edge,79.97303803742743,38.82522610449177,3011466,1718334.8321411405,1428,260.91728,22.40912,343.6669664282281,2.4980018054066022e-12,626.9933664282306,6.0471520000000014e-05,79.97297756590743,40.07921283734823,False
8,GENERIC,local,79.97297756590743,39.45221947092,1331919,18970630.83198867,4280,0.0,0.0,18970.63083198867,0.0,18970.63083198867,0.013174049188881022,79.95980351671855,77.39348113489734,True
9,GENERIC,local,79.95980351671855,58.42285030290867,3585014,7174400.459123861,192,0.0,0.0,7174.400459123859,0.0,7174.400459123859,0.004982222541058237,79.95482129417749,72.77165122115639,True
10,SLAM,local,79.95482129417749,65.59725076203253,34248,4559777.135038041,536,0.0,0.0,4559.777135038047,0.0,4559.777135038047,0.0031665118993319725,79.95165478227815,74.71680503210862,True
11,NAV,local,79.95165478227815,70.15702789707058,6769546,950489.7241747489,2344,0.0,0.0,950.4897241747443,0.0,950.4897241747443,0.0006600623084546867,79.9509947199697,72.05800734542007,False
12,GENERIC,edge,79.9509947199697,71.10751762124532,412634,3548711.080983269,598,53.01072,20.33008,709.7422161966538,5.329070518200751e-12,783.0830161966591,1.4039057777777778e-05,79.95098068091193,72.67368365363863,True
13,GENERIC,local,79.95098068091193,71.89060063744198,2211221,32274489.016357914,1771,0.0,0.0,32274.48901635792,0.0,32274.48901635792,0.022412839594692993,79.92856784131723,136.4395786701578,True
14,GENERIC,local,79.92856784131723,104.1650896537999,5634366,8262155.05770062,774,0.0,0.0,8262.155057700624,0.0,8262.155057700624,0.005737607678958763,79.92283023363828,120.68939976920115,True
15,GENERIC,edge,79.92283023363828,112.42724471150052,5441373,14199558.291791556,1827,455.30984,24.35304,2839.9116583583113,6.661338147750939e-12,3319.574538358318,0.00010388585777777779,79.9227263477805,119.06639378821716,True
16,SLAM,local,79.9227263477805,115.74681924985883,191398,7040172.282211602,867,0.0,0.0,7040.1722822116,0.0,7040.1722822116,0.004889008529313612,79.91783733925118,129.82716381428202,True
17,GENERIC,local,79.91783733925118,122.78699153207043,4093118,2038225.9907316542,1305,0.0,0.0,2038.2259907316609,0.0,2038.2259907316609,0.001415434715785871,79.9164219045354,126.86344351353375,True
18,NAV,local,79.9164219045354,124.82521752280209,8049847,440393.5681473365,625,0.0,0.0,440.39356814734276,0.0,440.39356814734276,0.0003058288667689837,79.91611607566863,125.70600465909678,False
19,GENERIC,local,79.91611607566863,125.26561109094943,1898396,32153606.051482882,801,0.0,0.0,32153.606051482897,0.0,32153.606051482897,0.022328893091307558,79.89378718257731,189.5728231939152,True
20,NAV,local,79.89378718257731,157.41921714243233,1377139,1270892.0295540506,1020,0.0,0.0,1270.8920295540622,0.0,1270.8920295540622,0.0008825639094125352,79.8929046186679,159.96100120154045,True
