run_id,parameter_label,seed,status,error,arrival_rate,nav_ratio,slam_ratio,edge_affinity_ratio,edge_rtt_ms,cloud_rtt_ms,local_ops_per_sec,edge_ops_per_sec,cloud_ops_per_sec,total_tasks,latency_mean_ms,latency_p95_ms,total_energy_wh,final_soc,local_ratio,edge_ratio,cloud_ratio,deadline_miss_rate,rules_valid
1,local_heavy,43,SUCCESS,,2.5,0.15,0.1,0.2,80.0,120.0,8000000.0,9000000.0,15000000.0,120,1288.687187081829,3458.0613749238046,0.10013849106458292,79.45871085911038,0.8416666666666667,0.15833333333333333,0.0,0.6333333333333333,True
2,balanced,44,SUCCESS,,2.5,0.15,0.1,0.5,80.0,120.0,8000000.0,9000000.0,15000000.0,120,1717.496172210044,4929.3553236580365,0.0871426973690915,79.52895839259956,0.6583333333333333,0.3416666666666667,0.0,0.5833333333333334,True
3,edge_heavy,45,SUCCESS,,2.5,0.15,0.1,0.8,80.0,120.0,8000000.0,9000000.0,15000000.0,120,2092.2455828345865,5672.377395165658,0.07143366633023225,79.61387207389066,0.4,0.6,0.0,0.6833333333333333,True
