run_id,parameter_label,seed,status,error,arrival_rate,nav_ratio,slam_ratio,edge_affinity_ratio,edge_rtt_ms,cloud_rtt_ms,local_ops_per_sec,edge_ops_per_sec,cloud_ops_per_sec,total_tasks,latency_mean_ms,latency_p95_ms,total_energy_wh,final_soc,local_ratio,edge_ratio,cloud_ratio,deadline_miss_rate,rules_valid
1,edge_10ms,43,SUCCESS,,2.0,0.2,0.1,0.5,10.0,100.0,1000000.0,5000000.0,10000000.0,10,2837.696760271173,9370.023973052648,0.016690738906322104,79.98330926109371,0.6,0.4,0.0,0.7,True
2,edge_20ms,44,SUCCESS,,2.0,0.2,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,10,4149.273838384643,12416.835503741218,0.024586795869892125,79.97541320413009,0.7,0.3,0.0,0.7,True
3,edge_40ms,45,SUCCESS,,2.0,0.2,0.1,0.5,40.0,100.0,1000000.0,5000000.0,10000000.0,10,3277.4237921081303,7232.989637350743,0.021372995881981036,79.97862700411802,0.7,0.3,0.0,0.7,True
4,edge_80ms,46,SUCCESS,,2.0,0.2,0.1,0.5,80.0,100.0,1000000.0,5000000.0,10000000.0,10,3652.992618691678,11664.541769719934,0.022308028921125777,79.97769197107885,0.7,0.3,0.0,0.8,True
