task_id,task_type,execution_site,soc_before,dispatch_time,task_size_bytes,compute_demand,deadline_ms,network_up_ms,network_down_ms,compute_time_ms,queue_wait_ms,latency_ms,energy_wh_delta,soc_after,finish_time,missed_deadline
1,NAV,local,45.00000000000001,0.0,2498684,1243255.1479568493,620,0.0,0.0,1243.2551479568492,0.0,1243.2551479568492,0.0008633716305255898,44.99533312632148,2.4865102959136984,True
2,GENERIC,edge,44.99533312632148,1.2432551479568492,3302597,4829219.80084669,689,284.20776,22.642,965.8439601693381,2.220446049250313e-13,1272.6937201693383,6.56730577777778e-05,44.99497813681999,3.7886425882955255,True
3,SLAM,local,44.99497813681999,2.5159488681261872,976878,15299961.069151836,791,0.0,0.0,15299.961069151834,0.0,15299.961069151834,0.010624972964688777,44.93754585052437,33.115871006429856,True
4,GENERIC,local,44.93754585052437,17.815909937278022,1193870,1550504.4562547142,1902,0.0,0.0,1550.5044562547141,0.0,1550.5044562547141,0.0010767392057324404,44.93172563860149,20.91691884978745,False
5,SLAM,local,44.93172563860149,19.366414393532736,211061,5746576.954422303,685,0.0,0.0,5746.576954422302,0.0,5746.576954422302,0.003990678440571043,44.910154403787594,30.85956830237734,True
6,GENERIC,edge,44.910154403787594,25.112991347955038,1907060,5652713.167711285,856,172.5648,21.525599999999997,1130.5426335422571,1.7763568394002505e-12,1324.6330335422588,4.073946666666667e-05,44.909934190454265,27.762257415039556,True
7,NAV,local,44.909934190454265,26.437624381497297,132464,22765214.55647547,1826,0.0,0.0,22765.214556475476,0.0,22765.214556475476,0.01580917677533019,44.82447918085789,71.96805349444824,True
8,NAV,local,44.82447918085789,49.20283893797277,4605336,5909387.251507822,108,0.0,0.0,5909.387251507823,0.0,5909.387251507823,0.0041037411468804325,44.80229679628016,61.02161344098842,True
9,GENERIC,edge,44.80229679628016,55.112226189480594,1841250,21599139.644643042,1137,167.29999999999998,21.47296,4319.827928928608,1.7763568394002505e-12,4508.60088892861,3.956366222222222e-05,44.80208293864653,64.1294279673378,True
10,GENERIC,local,44.80208293864653,59.6208270784092,3242047,18334209.546538644,402,0.0,0.0,18334.209546538637,0.0,18334.209546538637,0.01273208996287406,44.733260830739106,96.28924617148647,True
