run_id,parameter_label,seed,status,error,arrival_rate,nav_ratio,slam_ratio,edge_affinity_ratio,edge_rtt_ms,cloud_rtt_ms,local_ops_per_sec,edge_ops_per_sec,cloud_ops_per_sec,total_tasks,latency_mean_ms,latency_p95_ms,total_energy_wh,final_soc,local_ratio,edge_ratio,cloud_ratio,deadline_miss_rate,rules_valid
1,high_45pct,43,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,150,5295.727456595536,17679.637480133428,0.5050853503268887,42.269808917151934,0.7666666666666667,0.23333333333333334,0.0,0.8,True
2,above_35pct,44,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,150,7009.678833842445,25160.499931763003,0.6757778318888382,31.347146854654923,0.7266666666666667,0.2733333333333333,0.0,0.8333333333333334,True
3,just_above_32pct,45,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,150,5330.026933153505,18055.245750202568,0.5001076208609339,29.29671556291391,0.6466666666666666,0.1,0.25333333333333335,0.8133333333333334,True
4,exactly_30pct,46,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,150,4990.9690631569165,18015.23420380156,0.4624792371569096,27.50011223158427,0.5,0.0,0.5,0.7933333333333333,True
5,just_below_28pct,47,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,150,5186.1431550000425,20640.355375090843,0.48036352202709515,25.40344042147516,0.5533333333333333,0.0,0.44666666666666666,0.8066666666666666,True
6,low_25pct,48,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,150,3851.6522028833565,14739.028628558663,0.3260062157225505,23.237804239337525,0.43333333333333335,0.0,0.5666666666666667,0.7,True
7,very_low_20pct,49,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,150,3489.367596404282,15106.871303987247,0.30543514330759003,18.348999225364377,0.46,0.0,0.54,0.7866666666666666,True
8,critical_15pct,50,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,150,4632.508605409822,16915.009751957707,0.4299068479518491,12.676179200260282,0.54,0.0,0.46,0.7533333333333333,True
9,crossing_threshold_33pct,51,SUCCESS,,3.0,0.3,0.2,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,150,6606.911699671311,24722.745945297833,0.6585095960627991,29.440488669930826,0.7466666666666667,0.15333333333333332,0.1,0.8,True
