run_id,parameter_label,seed,status,error,arrival_rate,nav_ratio,slam_ratio,edge_affinity_ratio,edge_rtt_ms,cloud_rtt_ms,local_ops_per_sec,edge_ops_per_sec,cloud_ops_per_sec,total_tasks,latency_mean_ms,latency_p95_ms,total_energy_wh,final_soc,local_ratio,edge_ratio,cloud_ratio,deadline_miss_rate,rules_valid
1,light_balanced,43,SUCCESS,,1.0,0.2,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,50,4017.863651362455,12656.90279763591,0.1235304474237556,79.8764695525762,0.62,0.38,0.0,0.84,True
2,light_edge_heavy,44,SUCCESS,,1.0,0.2,0.1,0.8,20.0,100.0,1000000.0,5000000.0,10000000.0,50,2835.900956020201,12213.290386762597,0.07522454961919686,79.92477545038082,0.42,0.58,0.0,0.72,True
3,light_local_heavy,45,SUCCESS,,1.0,0.2,0.1,0.2,20.0,100.0,1000000.0,5000000.0,10000000.0,50,4693.820352340219,13373.870647750764,0.16109803395610506,79.83890196604386,0.92,0.08,0.0,0.78,True
4,medium_balanced,46,SUCCESS,,2.0,0.2,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,50,3877.849394403225,13279.944300117544,0.12169997712856244,79.87830002287144,0.66,0.34,0.0,0.78,True
5,medium_edge_heavy,47,SUCCESS,,2.0,0.2,0.1,0.8,20.0,100.0,1000000.0,5000000.0,10000000.0,50,3072.8770537960877,8736.21244269863,0.07914650098706488,79.92085349901295,0.42,0.58,0.0,0.7,True
6,medium_local_heavy,48,SUCCESS,,2.0,0.2,0.1,0.2,20.0,100.0,1000000.0,5000000.0,10000000.0,50,3778.5154841717613,10592.27962802841,0.12758794233415874,79.87241205766584,0.86,0.14,0.0,0.66,True
7,heavy_balanced,49,SUCCESS,,4.0,0.2,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,50,2865.9701941777257,11268.840022152688,0.08715307065005168,79.9128469293499,0.66,0.34,0.0,0.78,True
8,heavy_edge_heavy,50,SUCCESS,,4.0,0.2,0.1,0.8,20.0,100.0,1000000.0,5000000.0,10000000.0,50,2693.5242724408677,13123.661068422525,0.07129325375948835,79.9287067462405,0.4,0.6,0.0,0.76,True
9,very_heavy_balanced,51,SUCCESS,,6.0,0.2,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,50,4071.557851314911,12508.952791052088,0.1357889350371654,79.86421106496282,0.84,0.16,0.0,0.66,True
10,slam_intensive,52,SUCCESS,,2.0,0.1,0.3,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,50,4905.749765802656,11397.628114355732,0.16078905580901498,79.83921094419097,0.76,0.24,0.0,0.86,True
11,nav_intensive,53,SUCCESS,,2.0,0.4,0.1,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,50,4045.47372726639,12179.891074740948,0.13418144390500503,79.86581855609504,0.78,0.22,0.0,0.78,True
12,generic_only,54,SUCCESS,,2.0,0.0,0.0,0.5,20.0,100.0,1000000.0,5000000.0,10000000.0,50,2785.2168127129858,9971.1381238061,0.08223871092261194,79.91776128907742,0.52,0.48,0.0,0.7,True
